"sale_year","sale_month","cat1_name","goods_season","goods_num","sale_amount","origin_amount","settel_amount"
2013,6,"A针织衫","4-冬",6,0.23,0.95,0.23
2013,6,"B背心","1-春",1,0.04,0.13,0.04
2013,6,"B背心","2-夏",71,2.32,5.43,2.32
2013,6,"B背心","3-秋",24,0.44,0.78,0.44
2013,6,"C衬衣","1-春",14,0.95,0.99,0.95
2013,6,"C衬衣","2-夏",336,17.98,30.11,17.98
2013,6,"C衬衣","3-秋",13,0.45,1.53,0.45
2013,6,"D大衣","4-冬",5,0.49,1.71,0.49
2013,6,"E上衣","1-春",-10,-0.18,-0.65,-0.18
2013,6,"E上衣","2-夏",117,10.85,11.63,10.85
2013,6,"E上衣","3-秋",1,0.11,0.18,0.11
2013,6,"F风衣","1-春",1,0.08,0.16,0.08
2013,6,"H打底裤","1-春",6,0.62,0.42,0.62
2013,6,"H打底裤","2-夏",1,0.05,0,0.05
2013,6,"H打底裤","3-秋",3,0.08,0.11,0.08
2013,6,"J马夹","2-夏",5,0.35,0.46,0.35
2013,6,"J马夹","3-秋",1,0.03,0.06,0.03
2013,6,"K梭织裤","1-春",126,6.26,9.14,6.24
2013,6,"K梭织裤","2-夏",640,36.7,52.68,36.68
2013,6,"K梭织裤","3-秋",23,1.07,2.06,1.07
2013,6,"L连衣裙","1-春",22,2.48,2.72,2.42
2013,6,"L连衣裙","2-夏",849,73.46,105.03,73.46
2013,6,"L连衣裙","3-秋",58,3.07,7.4,3.07
2013,6,"M棉衣","4-冬",10,0.71,2.6,0.71
2013,6,"N牛仔裤","1-春",63,3.45,5.87,3.45
2013,6,"N牛仔裤","2-夏",198,10.4,17.64,10.33
2013,6,"N牛仔裤","3-秋",17,0.83,1.75,0.83
2013,6,"N牛仔裤","4-冬",1,0.02,0.1,0.02
2013,6,"Q腰裙","1-春",-6,-0.17,-0.44,-0.17
2013,6,"Q腰裙","2-夏",9,0.6,0.83,0.6
2013,6,"Q腰裙","4-冬",1,0.05,0.09,0.05
2013,6,"S饰品","1-春",8,0.34,0.57,0.34
2013,6,"S饰品","2-夏",8,0.19,0.38,0.19
2013,6,"S饰品","3-秋",8,0.27,0.5,0.27
2013,6,"S饰品","4-冬",2,0,0.03,0
2013,6,"T恤","1-春",108,4.13,7.03,4.13
2013,6,"T恤","2-夏",1349,63.72,104.24,63.64
2013,6,"T恤","3-秋",156,5.28,12.56,5.28
2013,6,"W外套","1-春",-3,-0.07,-0.4,-0.07
2013,6,"W外套","2-夏",34,1.08,2.93,1.08
2013,6,"W外套","3-秋",8,0.31,1.15,0.31
2013,6,"X西装","1-春",-5,0.03,-0.8,0.03
2013,6,"X西装","3-秋",8,0.14,0.66,0.14
2013,6,"Y羽绒服","4-冬",24,1.06,5.3,1.06
2013,7,"女装","1-春",841,12.67,64.23,12.59
2013,7,"女装","3-秋",121,1.66,10.09,1.66
2013,7,"未定义","1-春",16,0.72,2.13,0.72
2013,7,"未定义","4-冬",5,0.19,1.26,0.19
2013,7,"未定义","5-未定义",5,0.09,0.47,0.09
2013,7,"A针织衫","1-春",2,0.16,0.28,0.16
2013,7,"A针织衫","2-夏",-3,-0.11,-0.37,-0.11
2013,7,"A针织衫","3-秋",8,0.29,1.18,0.29
2013,7,"A针织衫","4-冬",18,0.8,3.01,0.8
2013,7,"B背心","2-夏",66,1.89,4.78,1.89
2013,7,"B背心","3-秋",25,0.31,0.65,0.31
2013,7,"C衬衣","1-春",28,1.62,2.99,1.62
2013,7,"C衬衣","2-夏",275,12.84,25.07,12.83
2013,7,"C衬衣","3-秋",68,3.58,6.71,3.58
2013,7,"D大衣","4-冬",24,1.71,7.15,1.71
2013,7,"E上衣","1-春",4,0.23,0.41,0.23
2013,7,"E上衣","2-夏",151,10.36,15.05,10.36
